nome,idade,cor,localizacao
Erick,25,verde,Curitiba
Ana,26,vermelho,Curitiba
Carlos,27,verde,Rio
Beatriz,28,verde,Curitiba
Lucas,29,verde,São Paulo
Mariana,30,vermelho,Curitiba
Rafael,31,verde,Rio
Juliana,33,verde,Rio
Gabriel,34,verde,Curitiba
Larissa,35,verde,Curitiba
Felipe,25,azul,São Paulo
Camila,26,azul,Rio
João,30,azul,Curitiba
Amanda,30,vermelho,Rio
Pedro,31,verde,São Paulo
Bianca,34,vermelho,Curitiba
Matheus,35,vermelho,Rio
Isabela,37,verde,Curitiba
Thiago,39,verde,Curitiba
Letícia,30,azul,Curitiba
Daniel,28,azul,São Paulo
Sofia,30,azul,São Paulo
Gustavo,32,azul,Rio
Helena,36,azul,Curitiba
Vinícius,36,vermelho,São Paulo
Laura,38,vermelho,Rio
André,40,vermelho,Curitiba
Valentina,36,verde,São Paulo
Henrique,40,verde,Rio
Manuela,40,vermelho,São Paulo
