nome,idade,cor,localizacao
Paulo,25,azul,Rio
Carolina,25,vermelho,São Paulo
Renato,26,azul,Curitiba
Eduardo,26,verde,Rio
Natália,27,azul,Curitiba
Rodrigo,28,azul,Curitiba
Rafael,31,verde,Rio
Renata,32,verde,Rio
Juliana,33,verde,Rio
Tatiane,36,verde,Curitiba
Felipe,25,azul,São Paulo
Camila,26,azul,Rio
Fernanda,27,azul,São Paulo
Ruan,29,azul,Rio
Samuel,31,azul,Rio
Bianca,34,vermelho,Curitiba
Melissa,35,vermelho,Curitiba
Otávio,37,vermelho,Curitiba
Lívia,38,verde,Curitiba
Cecília,39,vermelho,Curitiba
Esther,34,vermelho,São Paulo
Mirela,35,vermelho,São Paulo
Valentina,36,verde,São Paulo
Joana,38,verde,São Paulo
Cláudio,38,vermelho,São Paulo
Nina,39,azul,Curitiba
Maitê,39,verde,São Paulo
Henrique,40,verde,Rio
Sara,40,vermelho,Rio
Manuela,40,vermelho,São Paulo
